tempo,0.000000,0.010000,0.020000,0.030000,0.040000,0.050000,0.060000,0.070000,0.080000,0.090000,0.100000,0.110000,0.120000,0.130000,0.140000,0.150000,0.160000,0.170000,0.180000,0.190000,0.200000,0.210000,0.220000,0.230000,0.240000,0.250000,0.260000,0.270000,0.280000,0.290000,0.300000,0.310000,0.320000,0.330000,0.340000,0.350000,0.360000,0.370000,0.380000,0.390000,0.400000,0.410000,0.420000,0.430000,0.440000,0.450000,0.460000,0.470000,0.480000,0.490000,0.500000,0.510000,0.520000,0.530000,0.540000,0.550000,0.560000,0.570000,0.580000,0.590000,0.600000,0.610000,0.620000,0.630000,0.640000,0.650000,0.660000,0.670000,0.680000,0.690000,0.700000,0.710000,0.720000,0.730000,0.740000,0.750000,0.760000,0.770000,0.780000,0.790000,0.800000,0.810000,0.820000,0.830000,0.840000,0.850000,0.860000,0.870000,0.880000,0.890000,0.900000,0.910000,0.920000,0.930000,0.940000,0.950000,0.960000,0.970000,0.980000,0.990000
0.000000,20.000000,20.078931,20.315412,20.708510,21.256674,21.957739,22.808941,23.806918,24.947733,26.226883,27.639320,29.179470,30.841255,32.618116,34.503040,36.488590,38.566928,40.729853,42.968828,45.275018,47.639320,50.052405,52.504747,54.986671,57.488379,60.000000,62.511621,65.013329,67.495253,69.947595,72.360680,74.724982,77.031172,79.270147,81.433072,83.511410,85.496960,87.381884,89.158745,90.820530,92.360680,93.773117,95.052267,96.193082,97.191059,98.042261,98.743326,99.291490,99.684588,99.921069,100.000000,99.921069,99.684588,99.291490,98.743326,98.042261,97.191059,96.193082,95.052267,93.773117,92.360680,90.820530,89.158745,87.381884,85.496960,83.511410,81.433072,79.270147,77.031172,74.724982,72.360680,69.947595,67.495253,65.013329,62.511621,60.000000,57.488379,54.986671,52.504747,50.052405,47.639320,45.275018,42.968828,40.729853,38.566928,36.488590,34.503040,32.618116,30.841255,29.179470,27.639320,26.226883,24.947733,23.806918,22.808941,21.957739,21.256674,20.708510,20.315412,20.078931
0.197753,23.005614,23.078614,23.297326,23.660887,24.167861,24.816249,25.603490,26.526479,27.581573,28.764607,30.070913,31.495336,33.032254,34.675600,36.418891,38.255246,40.177417,42.177819,44.248557,46.381458,48.568106,50.799870,53.067943,55.363374,57.677103,60.000000,62.322897,64.636626,66.932057,69.200130,71.431894,73.618542,75.751443,77.822181,79.822583,81.744754,83.581109,85.324400,86.967746,88.504664,89.929087,91.235393,92.418427,93.473521,94.396510,95.183751,95.832139,96.339113,96.702674,96.921386,96.994386,96.921386,96.702674,96.339113,95.832139,95.183751,94.396510,93.473521,92.418427,91.235393,89.929087,88.504664,86.967746,85.324400,83.581109,81.744754,79.822583,77.822181,75.751443,73.618542,71.431894,69.200130,66.932057,64.636626,62.322897,60.000000,57.677103,55.363374,53.067943,50.799870,48.568106,46.381458,44.248557,42.177819,40.177417,38.255246,36.418891,34.675600,33.032254,31.495336,30.070913,28.764607,27.581573,26.526479,25.603490,24.816249,24.167861,23.660887,23.297326,23.078614
0.395506,25.785386,25.852901,26.055178,26.391421,26.860301,27.459968,28.188056,29.041692,30.017505,31.111646,32.319796,33.637187,35.058620,36.578485,38.190784,39.889154,41.666893,43.516984,45.432126,47.404761,49.427103,51.491172,53.588821,55.711772,57.851647,60.000000,62.148353,64.288228,66.411179,68.508828,70.572897,72.595239,74.567874,76.483016,78.333107,80.110846,81.809216,83.421515,84.941380,86.362813,87.680204,88.888354,89.982495,90.958308,91.811944,92.540032,93.139699,93.608579,93.944822,94.147099,94.214614,94.147099,93.944822,93.608579,93.139699,92.540032,91.811944,90.958308,89.982495,88.888354,87.680204,86.362813,84.941380,83.421515,81.809216,80.110846,78.333107,76.483016,74.567874,72.595239,70.572897,68.508828,66.411179,64.288228,62.148353,60.000000,57.851647,55.711772,53.588821,51.491172,49.427103,47.404761,45.432126,43.516984,41.666893,39.889154,38.190784,36.578485,35.058620,33.637187,32.319796,31.111646,30.017505,29.041692,28.188056,27.459968,26.860301,26.391421,26.055178,25.852901
0.593258,28.356284,28.418726,28.605805,28.916782,29.350430,29.905038,30.578417,31.367910,32.270401,33.282327,34.399696,35.618098,36.932724,38.338386,39.829537,41.400291,43.044449,44.755524,46.526761,48.351171,50.221554,52.130528,54.070559,56.033991,58.013075,60.000000,61.986925,63.966009,65.929441,67.869472,69.778446,71.648829,73.473239,75.244476,76.955551,78.599709,80.170463,81.661614,83.067276,84.381902,85.600304,86.717673,87.729599,88.632090,89.421583,90.094962,90.649570,91.083218,91.394195,91.581274,91.643716,91.581274,91.394195,91.083218,90.649570,90.094962,89.421583,88.632090,87.729599,86.717673,85.600304,84.381902,83.067276,81.661614,80.170463,78.599709,76.955551,75.244476,73.473239,71.648829,69.778446,67.869472,65.929441,63.966009,61.986925,60.000000,58.013075,56.033991,54.070559,52.130528,50.221554,48.351171,46.526761,44.755524,43.044449,41.400291,39.829537,38.338386,36.932724,35.618098,34.399696,33.282327,32.270401,31.367910,30.578417,29.905038,29.350430,28.916782,28.605805,28.418726
0.791011,30.734005,30.791754,30.964776,31.252386,31.653450,32.166384,32.789166,33.519336,34.354013,35.289903,36.323312,37.450163,38.666008,39.966048,41.345153,42.797880,44.318496,45.900999,47.539145,49.226469,50.956310,52.721843,54.516099,56.331998,58.162373,60.000000,61.837627,63.668002,65.483901,67.278157,69.043690,70.773531,72.460855,74.099001,75.681504,77.202120,78.654847,80.033952,81.333992,82.549837,83.676688,84.710097,85.645987,86.480664,87.210834,87.833616,88.346550,88.747614,89.035224,89.208246,89.265995,89.208246,89.035224,88.747614,88.346550,87.833616,87.210834,86.480664,85.645987,84.710097,83.676688,82.549837,81.333992,80.033952,78.654847,77.202120,75.681504,74.099001,72.460855,70.773531,69.043690,67.278157,65.483901,63.668002,61.837627,60.000000,58.162373,56.331998,54.516099,52.721843,50.956310,49.226469,47.539145,45.900999,44.318496,42.797880,41.345153,39.966048,38.666008,37.450163,36.323312,35.289903,34.354013,33.519336,32.789166,32.166384,31.653450,31.252386,30.964776,30.791754
0.988764,32.933062,32.986473,33.146493,33.412492,33.783420,34.257812,34.833798,35.509102,36.281062,37.146629,38.102387,39.144566,40.269051,41.471406,42.746885,44.090453,45.496809,46.960403,48.475458,50.035996,51.635856,53.268726,54.928162,56.607613,58.300453,60.000000,61.699547,63.392387,65.071838,66.731274,68.364144,69.964004,71.524542,73.039597,74.503191,75.909547,77.253115,78.528594,79.730949,80.855434,81.897613,82.853371,83.718938,84.490898,85.166202,85.742188,86.216580,86.587508,86.853507,87.013527,87.066938,87.013527,86.853507,86.587508,86.216580,85.742188,85.166202,84.490898,83.718938,82.853371,81.897613,80.855434,79.730949,78.528594,77.253115,75.909547,74.503191,73.039597,71.524542,69.964004,68.364144,66.731274,65.071838,63.392387,61.699547,60.000000,58.300453,56.607613,54.928162,53.268726,51.635856,50.035996,48.475458,46.960403,45.496809,44.090453,42.746885,41.471406,40.269051,39.144566,38.102387,37.146629,36.281062,35.509102,34.833798,34.257812,33.783420,33.412492,33.146493,32.986473
1.186517,34.966882,35.016279,35.164275,35.410287,35.753343,36.192090,36.724795,37.349357,38.063311,38.863839,39.747782,40.711651,41.751642,42.863651,44.043290,45.285902,46.586584,47.940203,49.341417,50.784695,52.264341,53.774517,55.309261,56.862518,58.428157,60.000000,61.571843,63.137482,64.690739,66.225483,67.735659,69.215305,70.658583,72.059797,73.413416,74.714098,75.956710,77.136349,78.248358,79.288349,80.252218,81.136161,81.936689,82.650643,83.275205,83.807910,84.246657,84.589713,84.835725,84.983721,85.033118,84.983721,84.835725,84.589713,84.246657,83.807910,83.275205,82.650643,81.936689,81.136161,80.252218,79.288349,78.248358,77.136349,75.956710,74.714098,73.413416,72.059797,70.658583,69.215305,67.735659,66.225483,64.690739,63.137482,61.571843,60.000000,58.428157,56.862518,55.309261,53.774517,52.264341,50.784695,49.341417,47.940203,46.586584,45.285902,44.043290,42.863651,41.751642,40.711651,39.747782,38.863839,38.063311,37.349357,36.724795,36.192090,35.753343,35.410287,35.164275,35.016279
1.384270,36.847879,36.893565,37.030441,37.257967,37.575246,37.981025,38.473703,39.051335,39.711642,40.452018,41.269541,42.160984,43.122830,44.151283,45.242283,46.391525,47.594473,48.846381,50.142306,51.477136,52.845601,54.242302,55.661725,57.098270,58.546266,60.000000,61.453734,62.901730,64.338275,65.757698,67.154399,68.522864,69.857694,71.153619,72.405527,73.608475,74.757717,75.848717,76.877170,77.839016,78.730459,79.547982,80.288358,80.948665,81.526297,82.018975,82.424754,82.742033,82.969559,83.106435,83.152121,83.106435,82.969559,82.742033,82.424754,82.018975,81.526297,80.948665,80.288358,79.547982,78.730459,77.839016,76.877170,75.848717,74.757717,73.608475,72.405527,71.153619,69.857694,68.522864,67.154399,65.757698,64.338275,62.901730,61.453734,60.000000,58.546266,57.098270,55.661725,54.242302,52.845601,51.477136,50.142306,48.846381,47.594473,46.391525,45.242283,44.151283,43.122830,42.160984,41.269541,40.452018,39.711642,39.051335,38.473703,37.981025,37.575246,37.257967,37.030441,36.893565
1.582022,38.587538,38.629791,38.756382,38.966812,39.260250,39.635538,40.091196,40.625425,41.236117,41.920860,42.676954,43.501414,44.390987,45.342161,46.351183,47.414071,48.526629,49.684468,50.883017,52.117547,53.383185,54.674937,55.987705,57.316307,58.655500,60.000000,61.344500,62.683693,64.012295,65.325063,66.616815,67.882453,69.116983,70.315532,71.473371,72.585929,73.648817,74.657839,75.609013,76.498586,77.323046,78.079140,78.763883,79.374575,79.908804,80.364462,80.739750,81.033188,81.243618,81.370209,81.412462,81.370209,81.243618,81.033188,80.739750,80.364462,79.908804,79.374575,78.763883,78.079140,77.323046,76.498586,75.609013,74.657839,73.648817,72.585929,71.473371,70.315532,69.116983,67.882453,66.616815,65.325063,64.012295,62.683693,61.344500,60.000000,58.655500,57.316307,55.987705,54.674937,53.383185,52.117547,50.883017,49.684468,48.526629,47.414071,46.351183,45.342161,44.390987,43.501414,42.676954,41.920860,41.236117,40.625425,40.091196,39.635538,39.260250,38.966812,38.756382,38.629791
